t,x,xdot
64.3,1.95574,-0.0768936
64.4,1.94373,-0.244455
64.5,1.91903,-0.385676
64.6,1.88351,-0.505736
64.7,1.83867,-0.609462
64.8,1.78568,-0.7011
64.9,1.7254,-0.784262
65,1.65844,-0.861986
65.1,1.58519,-0.936834
65.2,1.50582,-1.01099
65.3,1.42036,-1.08637
65.4,1.32868,-1.16466
65.5,1.23053,-1.24745
65.6,1.12553,-1.33616
65.7,1.01321,-1.43213
65.8,0.892968,-1.53648
65.9,0.764148,-1.65004
66,0.626024,-1.77313
66.1,0.477849,-1.90517
66.2,0.318921,-2.04425
66.3,0.148676,-2.18637
66.4,-0.0331703,-2.32471
66.5,-0.226425,-2.44888
66.6,-0.430142,-2.54454
66.7,-0.642275,-2.59408
66.8,-0.859305,-2.57889
66.9,-1.07594,-2.48352
67,-1.28518,-2.30109
67.1,-1.47892,-2.03777
67.2,-1.64936,-1.71355
67.3,-1.7906,-1.3578
67.4,-1.89984,-1.00125
67.5,-1.97748,-0.668511
67.6,-2.02632,-0.374278
67.7,-2.05037,-0.123751
67.8,-2.05384,0.0846568
67.9,-2.04055,0.256227
68,-2.01366,0.397587
68.1,-1.97566,0.515301
68.2,-1.92841,0.615204
68.3,-1.87326,0.702204
68.4,-1.81117,0.780314
68.5,-1.74276,0.85279
68.6,-1.66839,0.922291
68.7,-1.58819,0.991028
68.8,-1.50215,1.0609
68.9,-1.41008,1.13358
69,-1.31165,1.21062
69.1,-1.2064,1.29344
69.2,-1.09375,1.38339
69.3,-0.973016,1.48169
69.4,-0.843389,1.58933
69.5,-0.704004,1.7069
69.6,-0.553977,1.83424
69.7,-0.392508,1.96996
69.8,-0.219036,2.11078
69.9,-0.0334854,2.25068
70,0.163416,2.38001
70.1,0.369756,2.48511
70.2,0.582128,2.5489
70.3,0.795546,2.55317
70.4,1.00379,2.48289
70.5,1.20021,2.33126
70.6,1.37879,2.10328
70.7,1.53497,1.81563
70.8,1.66605,1.49252
70.9,1.77113,1.15956
71,1.85075,0.83846
71.1,1.90646,0.544101
71.2,1.9405,0.284218
71.3,1.95539,0.0606742
71.4,1.95368,-0.128638
71.5,1.93776,-0.288003
71.6,1.90974,-0.422545
71.7,1.87137,-0.537381
71.8,1.82405,-0.637183
71.9,1.76887,-0.726011
72,1.7066,-0.807301
72.1,1.63778,-0.883944
72.2,1.56274,-0.958379
72.3,1.4816,-1.0327
72.4,1.39435,-1.10876
72.5,1.30082,-1.18821
72.6,1.20072,-1.27257
72.7,1.09365,-1.36327
72.8,0.979088,-1.46156
72.9,0.856426,-1.56852
73,0.724977,-1.68485
73.1,0.584006,-1.81065
73.2,0.432773,-1.94502
73.3,0.270604,-2.0855
73.4,0.0969982,-2.22737
73.5,-0.0882134,-2.36284
73.6,-0.284649,-2.48036
73.7,-0.491083,-2.56453
73.8,-0.705078,-2.59713
73.9,-0.922621,-2.55994
74,-1.1379,-2.43945
74.1,-1.34348,-2.23222
74.2,-1.53119,-1.94859
74.3,-1.69363,-1.61195
74.4,-1.8257,-1.25295
74.5,-1.92558,-0.901194
74.6,-1.99449,-0.578592
74.7,-2.03568,-0.296894
74.8,-2.05332,-0.0589957
74.9,-2.05155,0.13806
75,-2.03401,0.300146
75.1,-2.00367,0.433978
75.2,-1.9628,0.545951
75.3,-1.91314,0.641638
75.4,-1.85589,0.725676
75.5,-1.79191,0.801842
75.6,-1.72174,0.873201
75.7,-1.64567,0.942268
75.8,-1.56378,1.01115
75.9,-1.47601,1.08167
76,-1.38213,1.15547
76.1,-1.28177,1.23404
76.2,-1.17444,1.3188
76.3,-1.05951,1.41106
76.4,-0.936278,1.51199
76.5,-0.803904,1.62249
76.6,-0.661515,1.74295
76.7,-0.508236,1.87294
76.8,-0.343319,2.01059
76.9,-0.166314,2.15191
77,0.022658,2.2899
77.1,0.222563,2.41377
77.2,0.43108,2.50874
77.3,0.644336,2.55705
77.4,0.856927,2.54092
77.5,1.06241,2.44721
77.6,1.25421,2.2723
77.7,1.42667,2.0248
77.8,1.57574,1.72417
77.9,1.69929,1.39564
78,1.79685,1.06417
78.1,1.86932,0.749637
78.2,1.91849,0.4648
78.3,1.94669,0.215505
78.4,1.95649,0.002259
78.5,1.95042,-0.177845
78.6,1.93078,-0.329452
78.7,1.89958,-0.457751
78.8,1.85848,-0.567759
78.9,1.80878,-0.66398
79,1.75146,-0.750287
79.1,1.68725,-0.829951
79.2,1.61659,-0.905717
79.3,1.53977,-0.979917
79.4,1.45686,-1.05456
79.5,1.36781,-1.13144
79.6,1.27241,-1.21217
79.7,1.17033,-1.29823
79.8,1.06114,-1.39101
79.9,0.944285,-1.49173
80,0.819141,-1.60136
80.1,0.685001,-1.72047
80.2,0.541121,-1.84892
80.3,0.386772,-1.9854
80.4,0.221318,-2.12689
80.5,0.0443352,-2.26786
80.6,-0.144211,-2.39948
80.7,-0.343727,-2.50905
80.8,-0.552673,-2.58017
80.9,-0.768192,-2.59425
81,-0.985755,-2.53388
81.1,-1.19903,-2.38795
81.2,-1.40026,-2.1568
81.3,-1.58131,-1.85487
81.4,-1.73531,-1.50846
81.5,-1.85806,-1.14876
81.6,-1.9487,-0.803668
81.7,-2.00914,-0.492189
81.8,-2.04305,-0.22325
81.9,-2.05464,0.00228798
82,-2.04793,0.188502
82.1,-2.0264,0.341679
82.2,-1.99278,0.468527
82.3,-1.94921,0.575231
82.4,-1.89723,0.667093
82.5,-1.83795,0.748487
82.6,-1.77213,0.822966
82.7,-1.70022,0.89342
82.8,-1.62246,0.962231
82.9,-1.53888,1.03141
83,-1.44936,1.10273
83.1,-1.35364,1.17776
83.2,-1.2513,1.25799
83.3,-1.14183,1.3448
83.4,-1.02457,1.43947
83.5,-0.898767,1.5431
83.6,-0.763573,1.65649
83.7,-0.618104,1.77982
83.8,-0.46151,1.9123
83.9,-0.293104,2.05155
84,-0.112574,2.19278
84.1,0.0797341,2.32796
84.2,0.282448,2.44512
84.3,0.492815,2.52842
84.4,0.706494,2.55972
84.5,0.917709,2.52205
84.6,1.11987,2.40457
84.7,1.30657,2.20713
84.8,1.47256,1.9418
84.9,1.61435,1.63035
85,1.73032,1.29856
85.1,1.82045,0.970257
85.2,1.88593,0.663371
85.3,1.92874,0.388538
85.4,1.95132,0.149861
85.5,1.95625,-0.0533432
85.6,1.94601,-0.22464
85.7,1.92282,-0.368932
85.8,1.88859,-0.491413
85.9,1.84487,-0.596976
86,1.79286,-0.689943
86.1,1.73348,-0.774006
86.2,1.66735,-0.852273
86.3,1.59488,-0.92736
86.4,1.51629,-1.00149
86.5,1.43161,-1.07661
86.6,1.34074,-1.15445
86.7,1.24343,-1.23658
86.8,1.13933,-1.32446
86.9,1.02797,-1.41943
87,0.908781,-1.52265
87.1,0.781097,-1.63501
87.2,0.644201,-1.75689
87.3,0.49735,-1.88787
87.4,0.339831,-2.02622
87.5,0.171054,-2.16826
87.6,-0.00930955,-2.30759
87.7,-0.201142,-2.43428
87.8,-0.40361,-2.5345
